RESP,QE1,QB31,QH1,QH2,QI2D
1000614,1,4,2,2,5
1000615,1,1,2,2,2
1000616,1,3,2,2,5
1000617,12,3,,,
1000618,10,4,,,
1000619,79,9,2,,
1000621,4,3,2,2,5
1000622,15,3,3,,5
1000623,2,1,2,2,5
1000624,5,3,2,,
1000627,2,4,2,2,5
1000628,4,2,2,2,9
1000629,5,3,3,,
1000631,12,4,,,
1000632,12,3,,,
1000634,10,3,,,
1000635,2,3,2,2,9
1000636,5,3,2,,
1000642,1,4,2,9,5
1000643,2,3,2,2,4
1000644,1,3,2,2,5
1000646,1,1,2,1,5
1000649,83,1,2,,
1000650,2,3,2,2,5
1000652,2,3,2,2,5
1000654,1,3,2,2,5
1000655,999,9,,,
1000657,2,1,2,1,5
1000660,2,1,2,2,1
1000661,2,1,2,1,5
1000662,6,1,1,,
1000663,1,1,2,2,5
1000664,1,3,2,1,5
1000665,1,1,1,,5
1000666,73,3,2,,
1000667,1,4,2,2,5
1000668,1,1,2,1,5
1000669,2,4,2,1,5
1000671,10,3,,,
1000672,2,1,2,2,5
1000674,1,3,2,2,5
1000677,1,3,3,,9
1000678,7,2,2,,
1000679,1,1,1,,4
1000680,2,3,2,2,5
1000681,1,3,2,2,5
1000682,12,1,,,
1000683,1,1,2,2,1
1000687,1,1,2,1,5
1000689,1,3,2,2,5
1000690,2,3,2,1,5
1000691,2,2,2,2,5
1000692,2,1,2,2,9
1000695,1,3,2,9,5
1000697,2,3,2,2,5
1000699,1,1,1,,5
1000700,1,1,9,,1
1000701,2,3,2,2,4
1000702,2,1,9,,5
1000705,1,4,2,2,5
1000706,2,3,1,,5
1000707,1,1,9,,5
1000709,1,2,2,1,5
1000710,1,3,2,9,5
1000712,1,1,2,2,5
1000713,1,1,1,,1
1000715,1,3,2,2,9
1000717,12,3,,,
1000718,1,3,2,2,9
1000719,1,1,1,,5
1000720,1,1,1,,5
1000723,1,1,1,,5
1000724,12,3,,,
1000726,5,2,3,,
1000729,12,4,,,
1000730,5,3,2,,
1000731,2,9,2,2,5
1000732,1,1,1,,5
1000733,10,3,,,
1000734,2,2,2,2,5
1000736,10,2,,,
1000737,9,3,,,
1000738,1,1,1,,4
1000740,1,3,3,,5
1000742,2,2,2,2,5
1000743,2,3,2,2,5
1000745,1,3,2,2,9
1000746,1,1,1,,5
1000747,2,3,1,,9
1000750,12,3,,,
1000751,1,1,1,,1
1000752,1,9,2,2,5
1000754,1,3,2,2,5
1000755,12,2,,,
1000757,9,3,,,
1000758,5,3,9,,
1000759,13,1,2,9,9
1000760,1,3,2,1,5
1000761,9,9,,,
1000762,5,3,2,,
1000763,1,4,2,2,5
1000764,1,1,2,1,5
1000765,2,4,2,2,5
1000767,1,3,3,,5
1000770,6,2,2,,
1000771,12,1,,,
1000772,1,1,2,9,5
1000774,2,2,2,2,5
1000775,2,1,2,9,9
1000776,1,1,3,,5
1000777,1,1,2,2,5
1000780,2,3,2,2,5
1000784,12,4,,,
1000786,1,1,1,,5
1000787,5,2,2,,
1000789,1,3,2,2,5
1000790,2,9,1,,5
1000792,5,4,2,,
1000793,1,3,2,2,5
1000794,2,1,1,,5
1000795,8,1,3,,
1000796,2,2,2,2,5
1000799,2,3,2,2,5
1000800,12,3,,,
1000802,1,3,2,2,5
1000803,12,2,,,
1000804,2,3,2,2,5
1000805,1,3,2,2,5
1000806,1,1,1,,5
1000807,1,3,2,2,5
1000809,1,3,2,1,5
1000811,1,1,2,2,5
1000812,2,3,2,2,4
1000815,1,9,2,9,5
1000816,1,4,2,2,5
1000818,3,1,1,,5
1000819,1,1,1,,5
1000820,1,3,2,2,5
1000821,1,1,1,,1
1000822,94,3,2,,
1000823,1,3,2,2,5
1000824,1,1,2,1,5
1000825,10,4,,,
1000826,2,1,2,2,5
1000827,2,1,2,2,5
1000828,15,1,1,,5
1000829,2,1,2,2,5
1000830,3,3,1,,5
1000831,12,3,,,
1000832,2,1,1,,5
1000834,2,3,2,2,5
1000836,2,3,2,2,1
1000837,1,4,2,2,5
1000838,1,3,1,,5
1000839,1,3,2,2,5
1000840,2,3,2,2,5
1000841,5,9,3,,
1000842,1,3,2,2,5
1000843,2,3,2,1,5
1000844,12,3,,,
1000845,1,3,2,1,5
1000846,1,1,2,2,5
1000848,12,3,,,
1000849,1,1,2,1,5
1000850,2,3,2,2,5
1000851,2,1,2,2,5
1000852,5,3,2,,
1000854,2,1,1,,4
